"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"IDFCFIRSTB","EQ","01-Apr-2025","54.96","55.05","57.66","54.96","57.20","57.17","56.96","7,43,64,099","4,23,55,48,618.19","99,060","3,99,43,303","53.71"
"INFY","EQ","25-Mar-2025","1,592.75","1,605.00","1,636.15","1,605.00","1,619.25","1,628.45","1,626.09","98,90,140","16,08,22,64,118.35","2,66,112","54,16,666","54.77"
"INFY","EQ","26-Mar-2025","1,628.45","1,626.00","1,637.75","1,595.00","1,599.00","1,599.45","1,610.78","66,51,302","10,71,37,71,940.10","2,22,554","41,50,616","62.40"
"INFY","EQ","27-Mar-2025","1,599.45","1,595.55","1,619.95","1,586.00","1,605.00","1,603.55","1,601.41","94,26,573","15,09,58,08,795.90","2,01,020","58,07,993","61.61"
"INFY","EQ","28-Mar-2025","1,603.55","1,590.00","1,598.45","1,560.00","1,569.00","1,570.65","1,576.42","67,99,047","10,71,81,60,396.85","2,17,515","41,52,763","61.08"
"INFY","EQ","01-Apr-2025","1,570.65","1,539.25","1,547.40","1,517.85","1,530.20","1,526.50","1,529.41","1,26,80,733","19,39,40,47,386.75","3,28,764","83,67,272","65.98"
"ITC","EQ","25-Mar-2025","410.90","412.00","415.25","408.70","409.20","409.80","411.17","2,03,38,110","8,36,24,11,027.50","1,38,414","1,12,39,980","55.27"
"ITC","EQ","26-Mar-2025","409.80","410.30","411.20","406.25","407.40","407.35","409.03","1,38,91,436","5,68,19,50,426.05","1,03,317","92,85,307","66.84"
"ITC","EQ","27-Mar-2025","407.35","408.00","410.70","405.65","409.35","409.45","409.35","1,86,42,328","7,63,12,35,472.20","1,53,590","1,32,35,557","71.00"
"ITC","EQ","28-Mar-2025","409.45","410.90","415.60","408.15","410.25","409.75","410.91","1,29,81,873","5,33,44,43,057.90","1,14,689","76,34,889","58.81"
"ITC","EQ","01-Apr-2025","409.75","409.80","414.40","405.60","406.60","406.65","409.28","1,52,06,240","6,22,36,51,577.60","1,27,499","82,01,108","53.93"
"MASTEK","EQ","25-Mar-2025","2,282.65","2,300.30","2,330.00","2,258.15","2,269.00","2,275.85","2,298.00","1,53,163","35,19,68,986.45","23,385","49,086","32.05"
"MASTEK","EQ","26-Mar-2025","2,275.85","2,289.10","2,297.85","2,236.70","2,243.85","2,245.25","2,264.94","1,30,527","29,56,36,269.40","20,309","53,085","40.67"
"MASTEK","EQ","27-Mar-2025","2,245.25","2,225.00","2,246.95","2,155.00","2,167.00","2,161.90","2,191.31","1,66,262","36,43,31,157.30","22,857","84,748","50.97"
"MASTEK","EQ","28-Mar-2025","2,161.90","2,189.80","2,199.00","2,139.60","2,170.00","2,181.15","2,167.18","1,38,445","30,00,35,185.90","18,125","60,544","43.73"
"MASTEK","EQ","01-Apr-2025","2,181.15","2,180.00","2,200.00","2,111.00","2,132.00","2,121.20","2,157.48","93,135","20,09,36,440.00","14,396","37,088","39.82"
"NHPC","EQ","25-Mar-2025","83.62","84.30","84.65","80.75","81.21","81.31","82.12","1,98,26,090","1,62,82,12,939.35","66,580","76,93,966","38.81"
"NHPC","EQ","26-Mar-2025","81.31","81.45","82.85","80.55","80.90","80.94","81.78","2,00,90,934","1,64,29,73,080.68","76,066","92,62,866","46.10"
"NHPC","EQ","27-Mar-2025","80.94","80.60","82.27","80.00","81.82","81.28","81.17","8,49,26,439","6,89,34,59,449.20","1,09,502","5,35,91,364","63.10"
"NHPC","EQ","28-Mar-2025","81.28","82.45","86.94","82.00","82.20","82.20","84.53","7,23,67,264","6,11,72,00,295.01","1,80,358","2,12,96,999","29.43"
"NHPC","EQ","01-Apr-2025","82.20","82.08","83.49","81.54","82.05","82.14","82.33","1,74,13,114","1,43,36,54,517.90","68,936","77,22,571","44.35"
"RELINFRA","EQ","25-Mar-2025","243.64","245.35","246.10","235.30","237.00","237.80","238.12","47,71,028","1,13,60,92,295.06","31,366","25,44,537","53.33"
